"  NO.",DateTime,°C,%RH,hPa,DP,°F
"  1","2021-11-26 11:02:35","21,6","41,6","0,0","8,0","70,9"
"  2","2021-11-26 11:03:35","21,1","32,5","0,0","4,0","70,0"
"  3","2021-11-26 11:04:35","18,9","34,3","0,0","2,8","66,0"
"  4","2021-11-26 11:05:35","16,7","37,1","0,0","2,0","62,1"
"  5","2021-11-26 11:06:35","15,0","39,6","0,0","1,4","59,0"
"  6","2021-11-26 11:07:35","13,6","41,8","0,0","0,9","56,5"
"  7","2021-11-26 11:08:35","12,5","43,9","0,0","0,6","54,5"
"  8","2021-11-26 11:09:35","11,7","45,4","0,0","0,3","53,1"
"  9","2021-11-26 11:10:35","11,0","47,0","0,0","0,1","51,8"
"  10","2021-11-26 11:11:35","10,5","48,3","0,0","0,1","50,9"
"  11","2021-11-26 11:12:35","10,1","49,5","0,0","0,0","50,2"
"  12","2021-11-26 11:13:35","9,7","50,7","0,0","0,0","49,5"
"  13","2021-11-26 11:14:35","9,3","51,7","0,0","-0,1","48,7"
"  14","2021-11-26 11:15:35","9,1","52,6","0,0","-0,1","48,4"
"  15","2021-11-26 11:16:35","8,8","52,9","0,0","-0,3","47,8"
"  16","2021-11-26 11:17:35","8,6","53,3","0,0","-0,3","47,5"
"  17","2021-11-26 11:18:35","8,6","53,6","0,0","-0,3","47,5"
"  18","2021-11-26 11:19:35","8,5","54,1","0,0","-0,2","47,3"
"  19","2021-11-26 11:20:35","8,4","54,4","0,0","-0,3","47,1"
"  20","2021-11-26 11:21:35","8,3","54,7","0,0","-0,3","46,9"
"  21","2021-11-26 11:22:35","8,3","55,0","0,0","-0,2","46,9"
"  22","2021-11-26 11:23:35","8,3","54,7","0,0","-0,3","46,9"
"  23","2021-11-26 11:24:35","8,3","55,1","0,0","-0,2","46,9"
"  24","2021-11-26 11:25:35","8,4","55,0","0,0","-0,1","47,1"
"  25","2021-11-26 11:26:35","8,4","55,4","0,0","0,0","47,1"
"  26","2021-11-26 11:27:35","8,4","54,2","0,0","-0,3","47,1"
"  27","2021-11-26 11:28:35","8,4","53,3","0,0","-0,5","47,1"
"  28","2021-11-26 11:29:35","8,4","53,7","0,0","-0,4","47,1"
"  29","2021-11-26 11:30:35","8,4","54,4","0,0","-0,3","47,1"
"  30","2021-11-26 11:31:35","8,5","55,0","0,0","0,0","47,3"
"  31","2021-11-26 11:32:35","8,5","54,2","0,0","-0,2","47,3"
"  32","2021-11-26 11:33:35","8,5","54,5","0,0","-0,1","47,3"
"  33","2021-11-26 11:34:35","8,5","54,3","0,0","-0,2","47,3"
"  34","2021-11-26 11:35:35","8,5","54,4","0,0","-0,2","47,3"
